fixed acidity,volatile acidity,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
11.6,0.58,2.2,0.074,47,1.0008,3.25,0.57,9,3
10.4,0.61,2.1,0.2,16,0.9994,3.16,0.63,8.4,3
7.6,1.58,2.1,0.137,9,0.99476,3.5,0.4,10.9,3
7.3,0.98,2.1,0.061,49,0.99705,3.31,0.55,9.7,3
7.1,0.875,5.7,0.082,14,0.99808,3.4,0.52,10.2,3
6.7,0.76,1.8,0.078,12,0.996,3.55,0.63,9.95,3
8.8,0.61,2.8,0.088,46,0.9976,3.26,0.51,9.3,4
4.6,0.52,2.1,0.054,65,0.9934,3.9,0.56,13.1,4
8.3,0.675,2.1,0.084,43,0.9976,3.31,0.53,9.2,4
8.3,0.625,1.5,0.08,119,0.9972,3.16,1.12,9.1,4
5,1.02,1.4,0.045,85,0.9938,3.75,0.48,10.5,4
9.2,0.52,3.4,0.61,69,0.9996,2.74,2,9.4,4
7.6,0.68,1.3,0.072,20,0.9965,3.17,1.08,9.2,4
7.3,0.55,1.6,0.072,42,0.9956,3.37,0.48,9,4
7.9,0.885,1.8,0.058,8,0.9972,3.36,0.33,9.1,4
6.9,1.09,2.1,0.061,31,0.9948,3.51,0.43,11.4,4
7,0.975,2,0.087,67,0.99565,3.35,0.6,9.4,4
8.1,0.87,3.3,0.096,61,1.00025,3.6,0.72,9.8,4
12.5,0.46,4.5,0.07,49,0.9981,3.05,0.57,9.6,4
9.9,0.5,2.3,0.103,14,0.9978,3.34,0.52,10,4
10.1,0.935,3.4,0.105,86,1.001,3.43,0.64,11.3,4
8.3,0.845,2.2,0.07,14,0.9967,3.32,0.58,11,4
7.5,0.38,2.6,0.073,84,0.9972,3.32,0.7,9.6,4
9.1,0.765,1.6,0.078,14,0.998,3.29,0.54,9.7,4
6.9,0.39,2.1,0.102,7,0.99462,3.44,0.58,11.4,4
7.5,0.685,2.5,0.058,9,0.99632,3.38,0.55,10.9,4
11.6,0.47,1.6,0.147,51,0.99836,3.38,0.86,9.9,4
7.3,0.35,2,0.067,48,0.99576,3.43,0.54,10,4
8.4,0.67,2.2,0.093,75,0.99736,3.2,0.59,9.2,4
6.5,0.88,5.6,0.079,47,0.99572,3.58,0.5,11.2,4
8.8,0.955,1.8,0.075,19,0.99616,3.3,0.44,9.6,4
8.1,0.73,2.5,0.081,24,0.99798,3.38,0.46,9.6,4
6.5,0.67,4.3,0.057,20,0.99488,3.45,0.56,11.8,4
6.3,1.02,2,0.083,24,0.99437,3.59,0.55,11.2,4
8.5,0.4,6.3,0.05,10,0.99566,3.28,0.56,12,4
6.4,0.53,3.9,0.123,31,0.9968,3.5,0.67,11,4
